40920	8.326976	0.953952
14488	7.153469	1.673904
26052	1.441871	0.805124
75136	13.147394	0.428964
38344	1.669788	0.134296
72993	10.141740	1.032955
35948	6.830792	1.213192
42666	13.276369	0.543880
67497	8.631577	0.749278
35483	12.273169	1.508053
50242	3.723498	0.831917
63275	8.385879	1.669485
5569	4.875435	0.728658
51052	4.680098	0.625224
77372	15.299570	0.331351
43673	1.889461	0.191283
61364	7.516754	1.269164
69673	14.239195	0.261333
15669	0.000000	1.250185
28488	10.528555	1.304844
6487	3.540265	0.822483
37708	2.991551	0.833920
22620	5.297865	0.638306
28782	6.593803	0.187108
19739	2.816760	1.686209
36788	12.458258	0.649617
5741	0.000000	1.656418
28567	9.968648	0.731232
6808	1.364838	0.640103
41611	0.230453	1.151996
36661	11.865402	0.882810
43605	0.120460	1.352013
15360	8.545204	1.340429
63796	5.856649	0.160006
10743	9.665618	0.778626
70808	9.778763	1.084103
72011	4.932976	0.632026
5914	2.216246	0.587095
14851	14.305636	0.632317
33553	12.591889	0.686581
44952	3.424649	1.004504
17934	0.000000	0.147573
27738	8.533823	0.205324
29290	9.829528	0.238620
42330	11.492186	0.263499
36429	3.570968	0.832254
39623	1.771228	0.207612
32404	3.513921	0.991854
27268	4.398172	0.975024
5477	4.276823	1.174874
14254	5.946014	1.614244
68613	13.798970	0.724375
41539	10.393591	1.663724
7917	3.007577	0.297302
21331	1.031938	0.486174
8338	4.751212	0.064693
5176	3.692269	1.655113
18983	10.448091	0.267652
68837	10.585786	0.329557
13438	1.604501	0.069064
48849	3.679497	0.961466
12285	3.795146	0.696694
7826	2.531885	1.659173
5565	9.733340	0.977746
10346	6.093067	1.413798
1823	7.712960	1.054927
9744	11.470364	0.760461
16857	2.886529	0.934416
39336	10.054373	1.138351
65230	9.972470	0.881876
2463	2.335785	1.366145
27353	11.375155	1.528626
16191	0.000000	0.605619
12258	4.126787	0.357501
42377	6.319522	1.058602
25607	8.680527	0.086955
77450	14.856391	1.129823
58732	2.454285	0.222380
46426	7.292202	0.548607
32688	8.745137	0.857348
64890	8.579001	0.683048
8554	2.507302	0.869177
28861	11.415476	1.505466
42050	4.838540	1.680892
32193	10.339507	0.583646
64895	6.573742	1.151433
2355	6.539397	0.462065
0	2.209159	0.723567
70406	11.196378	0.836326
57399	4.229595	0.128253
41732	9.505944	0.005273
11429	8.652725	1.348934
75270	17.101108	0.490712
5459	7.871839	0.717662
73520	8.262131	1.361646
40279	9.015635	1.658555
21540	9.215351	0.806762
17694	6.375007	0.033678
22329	2.262014	1.022169
46570	5.677110	0.709469	
